"PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"ILMN_1713462",-4.17341459366645,9.98164108036598,-17.6548574523538,3.06026002164296e-42,1.46181511538884e-39,85.4703122742376,"AQP8","aquaporin 8"
"ILMN_1701441",-1.25590727723432,8.94719100204124,-17.6397413957825,3.39152470231913e-42,1.60385203172672e-39,85.3683520071628,"LPAR1","lysophosphatidic acid receptor 1"
"ILMN_2136147",-2.14141106204129,9.07255348381443,-17.6370466519579,3.45424652931563e-42,1.61733978585482e-39,85.3501732828932,"BCAS1","brain enriched myelin associated protein 1"
"ILMN_2390310",-1.26244150991508,8.80086603285052,-17.6343900216509,3.51721889748078e-42,1.63067923197908e-39,85.3322510100584,"MIR22HG","MIR22 host gene"
"ILMN_1656395",-1.40541580243623,7.63971875224742,-17.5870929881067,4.85213522936934e-42,2.22774247569783e-39,85.0130640085471,"MYOT","myotilin"
"ILMN_1705753",0.789647808353984,7.88554670388144,17.5847678359313,4.92951924130003e-42,2.24150927808729e-39,84.9973672289346,"CMSS1","cms1 ribosomal small subunit homolog"
"ILMN_1698685",-0.995202620463759,7.69075164402062,-17.5596533872296,5.84844583378552e-42,2.60917927811054e-39,84.8277912784403,"MATN2","matrilin 2"
"ILMN_1729115",1.20805716252891,8.09903114713918,17.561005344297,5.79486848575175e-42,2.60917927811054e-39,84.836921344507,"UBE2S","ubiquitin conjugating enzyme E2 S"
"ILMN_1672591",-0.85886937141414,7.36980196923711,-17.5497493343129,6.25637432879025e-42,2.76508357017281e-39,84.7609018850723,"SCN9A","sodium voltage-gated channel alpha subunit 9"
"ILMN_1795930",-1.32016803929393,10.0360631502526,-17.5397323705098,6.69796271362698e-42,2.93283941414278e-39,84.6932407553352,"PTGER4","prostaglandin E receptor 4"
"ILMN_1804593",-2.36300535192419,8.88236066737629,-17.530200683846,7.14712568485831e-42,3.10080342786192e-39,84.6288489600208,"HEPACAM2","HEPACAM family member 2"
"ILMN_1796235",0.866591269824625,9.22788195390722,17.499439347113,8.81308973535587e-42,3.78882739622708e-39,84.4209824954332,"UTP4","UTP4 small subunit processome component"
"ILMN_1660793",1.13320687568664,8.3363421716134,17.4929949496789,9.20865887478477e-42,3.92322052422137e-39,84.3774242269397,"PAQR4","progestin and adipoQ receptor family member 4"
"ILMN_1689004",1.62527507861694,8.3550264693299,17.4256167111808,1.45766201637012e-41,6.10025104018965e-39,83.9217829924255,"TNFRSF12A","TNF receptor superfamily member 12A"
"ILMN_1898124",1.01742566319957,8.53509671400515,17.4267667803891,1.44627475650691e-41,6.10025104018965e-39,83.9295637058228,"SNHG15","small nucleolar RNA host gene 15"
"ILMN_1815326",-0.917226567368187,7.62230186056701,-17.4060073515625,1.66624745464492e-41,6.91200369562791e-39,83.7890989339969,"CCDC68","coiled-coil domain containing 68"
"ILMN_3248773",1.00928671167932,8.62123402568557,17.3683776621956,2.15396862158534e-41,8.85749357519745e-39,83.5343862835906,"SNHG15","small nucleolar RNA host gene 15"
"ILMN_1779353",1.01155585687968,8.71435434755155,17.3542098689106,2.37265014442565e-41,9.67264011464561e-39,83.4384527749267,"PUS7","pseudouridine synthase 7"
"ILMN_1760143",0.955106953873567,10.1582084734485,17.349244574849,2.45444322019941e-41,9.92056580198548e-39,83.4048273599738,"ADRM1","ADRM1 26S proteasome ubiquitin receptor"
"ILMN_1713846",1.09073431628216,7.75007058080412,17.3470601206098,2.49131679657782e-41,9.98426875509872e-39,83.3900333471323,"PPM1H","protein phosphatase, Mg2+/Mn2+ dependent 1H"
"ILMN_1792587",-0.826588532193483,10.5302098106031,-17.3343591486308,2.71697382040597e-41,1.07971169720167e-38,83.3040088115144,"VPS4B","vacuolar protein sorting 4 homolog B"
"ILMN_1700733",-0.92324939460218,8.71821353962371,-17.3331134932671,2.74017920508562e-41,1.07985895507082e-38,83.2955711342755,"ATOSA","atos homolog A"
"ILMN_1685403",2.74710435892008,7.78637155436598,17.3307180595505,2.78536343234395e-41,1.08658405953208e-38,83.2793448343465,"MMP7","matrix metallopeptidase 7"
"ILMN_1753790",0.655907028542683,7.95851707109794,17.3285876442536,2.82617549846576e-41,1.08658405953208e-38,83.2649133017547,"ZPR1","ZPR1 zinc finger"
"ILMN_1764380",-0.9772424084773,11.0194712223918,-17.3288023932078,2.8220345758534e-41,1.08658405953208e-38,83.2663680393893,"GLTP","glycolipid transfer protein"
"ILMN_1753183",0.71756408919192,7.36643063474227,17.3186266418866,3.02509117330482e-41,1.14976064421358e-38,83.1974316813472,"CDCA4","cell division cycle associated 4"
"ILMN_2376723",-1.76222829106316,9.13130919796907,-17.3179490043728,3.03912202424819e-41,1.14976064421358e-38,83.1928406523829,"CDKN2B","cyclin dependent kinase inhibitor 2B"
"ILMN_3247139",0.87618697157254,7.14977115176804,17.2893821114129,3.6938963906101e-41,1.38638381199962e-38,82.9992616588215,"EPOP","elongin BC and polycomb repressive complex 2 associated protein"
"ILMN_1790518",0.825092832642691,8.50168473604124,17.2795001064249,3.9518855560428e-41,1.47153281846665e-38,82.9322811190189,"JADE3","jade family PHD finger 3"
